TERRITORIO#es,TIME_PERIOD#es,FLUJO_ENERGIA#es,FLUJO_ENERGIA_CODE,OBS_VALUE
Agaete,02/01/2022,Total,_T,37.82
Agaete,03/01/2022,Total,_T,38.07
Agaete,04/01/2022,Total,_T,37.38
Agaete,05/01/2022,Total,_T,37.8
Agaete,06/01/2022,Total,_T,36.66
Agaete,07/01/2022,Total,_T,38.48
Agaete,08/01/2022,Total,_T,38.59
Agaete,09/01/2022,Total,_T,38.65
Agaete,10/01/2022,Total,_T,37.91
Agaete,11/01/2022,Total,_T,37.9
Agaete,12/01/2022,Total,_T,37.63
Agaete,13/01/2022,Total,_T,35.92
Agaete,14/01/2022,Total,_T,36.66
Agaete,15/01/2022,Total,_T,40.77
Agaete,16/01/2022,Total,_T,39.13
Agaete,17/01/2022,Total,_T,38.0
Agaete,18/01/2022,Total,_T,36.47
Agaete,19/01/2022,Total,_T,36.46
Agaete,20/01/2022,Total,_T,36.21
Agaete,21/01/2022,Total,_T,37.21
Agaete,22/01/2022,Total,_T,38.97
Agaete,23/01/2022,Total,_T,39.44
Agaete,24/01/2022,Total,_T,37.32
Agaete,25/01/2022,Total,_T,36.14
Agaete,26/01/2022,Total,_T,36.14
Agaete,27/01/2022,Total,_T,35.84
Agaete,28/01/2022,Total,_T,36.74
Agaete,29/01/2022,Total,_T,39.26
Agaete,30/01/2022,Total,_T,38.32
Agaete,31/01/2022,Total,_T,36.2
Agaete,01/02/2022,Total,_T,37.06
Agaete,02/02/2022,Total,_T,36.16
Agaete,03/02/2022,Total,_T,35.8
Agaete,04/02/2022,Total,_T,36.96
Agaete,05/02/2022,Total,_T,39.68
Agaete,06/02/2022,Total,_T,39.2
Agaete,07/02/2022,Total,_T,38.42
Agaete,08/02/2022,Total,_T,36.14
